Time,Chan,Amp,RiseT,Dur,Energy,RMS,Trai,Counts,CU_Hits,FFT_FoM,FFT_CoG,Time/h,Ecell
0.2804110241,4,27.3357982612,2.3,53.7,1.1486074072,2.54375,3,5,1,148.8,261.4942121499,0.2898554686,0.350603039
0.9180344359,4,44.7319702572,7.2,162.7,36.1271668226,2.51375,6,25,2,148.8,213.4220867739,0.9274788804,0.3433583867
1.1189117758,4,38.1967936297,80.7,257.7,14.9440544192,2.485,7,28,3,150.7,221.66845041,1.1283562202,0.34145189930000003
4.8580319544,4,26.5150612234,0.7000000000000001,21.0,0.665456173,2.5300000000000002,39,2,4,146.9,256.4695380748,4.8674763989,3.4530300389
4.9373729434,4,25.344036333,4.0,57.6,1.0498755728,2.4875,43,3,5,152.6,272.8445962211,4.9468173879,3.4802928092
4.9709231066,4,26.8225584548,1.0,32.0,0.7019392797,2.52625,46,2,6,152.6,259.8314632308,4.9803675510000005,3.4913504363
5.1063078124,4,26.8977614322,9.0,40.3,0.7095004548,2.515,54,3,7,148.8,258.9424082263,5.1157522569,3.5317679698999997
5.2994725866,4,26.0323876291,8.8,30.3,0.6994363503000001,2.52125,63,2,8,145.0,268.5562169037,5.308917031,3.5754265321
47.3136590253,4,25.7806050829,11.0,23.8,0.7370312233,2.525,106,5,9,241.9,310.6968453395,47.3231034698,3.7231793081999998
47.6582888462,4,29.5817433868,23.3,42.6,1.3643468264,2.52125,107,10,10,238.1,284.5672165504,47.6677332907,3.7803739311999998
49.5372029786,4,26.5929621011,19.5,28.1,0.8060917025000001,2.505,114,6,11,240.0,285.643551664,49.5466474231,4.1468008159
68.137438485,4,40.8621729222,54.7,640.2,30.0309970044,2.50375,189,44,12,50.0,171.3186252926,68.1468829294,2.8782240778
71.8412730989,4,38.2779707593,49.9,498.2,22.9060795391,2.54625,203,35,13,50.0,166.5400493734,71.8507175434,2.8766988879
75.4123081775,4,24.6934518365,63.9,64.3,0.8562608855,2.52,223,3,14,150.7,258.9420955673,75.421752622,3.3254860297
75.5468734065,4,39.6916119845,50.3,498.3,26.5294220299,2.55,224,38,15,50.0,176.3558035748,75.5563178509,2.8698355331
79.2547308124,4,39.7429572944,54.0,517.2,27.6571532595,2.53375,240,35,16,50.0,181.5416203224,79.2641752569,2.8742204542
82.9647223244,4,40.1756772881,43.6,529.7,27.007132303,2.5,253,45,17,150.7,181.2150870434,82.9741667688,2.8784147266
82.9944373286,4,24.7894294941,20.1,20.5,0.5787122063,2.50375,254,2,18,148.8,290.1103034545,83.0038817731,3.2410286364
86.6710815695,4,39.2515031752,43.9,503.0,24.826626759,2.4987500000000002,266,44,19,150.7,182.4472271718,86.6805260139,2.8776521316
90.3705226496,4,36.2381799885,30.9,627.0,15.6547059305,2.485,281,35,20,50.0,192.8570848636,90.379967094,2.8686916407
94.0801943234,4,36.1094977884,43.2,604.9,15.055842232,2.5375,318,35,21,50.0,192.5376973135,94.0896387678,2.8629721784
97.7851908688,4,35.1510267421,136.0,497.5,13.1968001369,2.5375,330,30,22,50.0,193.3473508633,97.7946353133,2.8553462286
101.4794963672,4,35.2945984346,30.8,509.0,12.9060645122,2.4987500000000002,344,34,23,101.3,198.1830125311,101.4889408117,2.8698355331
105.153489388,4,37.5185260842,17.8,452.8,11.996741523,2.53125,353,27,24,101.3,201.5835984441,105.1629338325,2.8597311497
108.8119878813,4,37.5185260842,30.1,488.9,14.5691854414,2.48875,363,34,25,148.8,196.0797723748,108.8214323258,2.8639254221
112.4457106419,4,39.1424738402,39.0,497.7,17.9245660547,2.52,370,39,26,50.0,190.387482004,112.4551550864,2.8564901211000002
116.0698566552,4,39.6916119845,43.7,503.2,21.3721010368,2.5300000000000002,391,39,27,150.7,182.7664342075,116.0793010997,2.8732672105
117.9229426834,4,25.2540263085,0.4,748.9,3.0103125027,2.51875,409,4,28,148.8,296.3657047193,117.9323871278,4.1999918153
117.9229444606,4,25.0711587197,245.6,1038.5,4.3486768845,2.51875,410,3,29,154.5,313.5092686982,117.9323889051,4.1999918153
117.9229452792,4,25.4331231615,638.8,2898.0,10.8604930574,2.51875,412,16,30,148.8,309.1405368719,117.9323897236,4.1999918153
118.5021618303,4,26.3571316065,911.1,1477.3,7.1415735874,2.49375,418,13,31,148.8,252.6158468846,118.5116062747,3.8124029201000003
119.7127233875,4,38.3983314331,19.2,395.2,15.7453818247,2.50625,428,33,32,50.0,181.4431676015,119.722167832,2.8723139668
119.8670874436,4,25.8653461418,570.2,722.2,3.685860429,2.6325000000000003,438,4,33,150.7,303.93238698,119.8765318881,3.1927945043
119.8670882133,4,25.7806050829,461.3,644.0,4.3443942559,2.6325000000000003,442,6,34,148.8,306.3972737648,119.8765326578,3.1927945043
123.350321535,4,38.8448553584,26.8,485.8,21.7475229874,2.545,461,41,35,150.7,180.7212773538,123.3597659795,2.8622095834
126.9723563963,4,38.9014411588,33.5,492.7,22.2219736315,2.5387500000000003,472,40,36,150.7,179.2233206864,126.9818008407,2.8681196944
130.5766136036,4,37.9065459683,23.4,482.7,17.3183099832,2.52,488,40,37,50.0,188.342040681,130.586058048,2.8622095834
134.165850289,4,38.1148506669,58.2,562.2,27.4886493571,2.50375,504,51,38,150.7,189.5275218538,134.1752947334,2.8685009919
136.5715528712,4,24.5964017806,1702.5,1702.9,5.9354963014,2.6475,524,10,39,150.7,295.5797537607,136.5809973157,3.7990575080999998
136.5715579485,4,25.6950291233,25.9,860.6,4.022711073,2.6475,531,6,40,150.7,296.3128762486,136.581002393,3.7990575080999998
136.579625141,4,24.8843581946,496.4,497.1,1.9115715986000001,2.50375,559,3,41,148.8,301.8880585192,136.5890695854,3.7944819382
136.5796256821,4,25.4331231615,562.7,635.8,3.7015692213999998,2.50375,560,6,42,150.7,304.6805022705,136.5890701266,3.7944819382
136.9086126619,4,24.5964017806,396.3,489.1,2.0017687348,2.54,569,3,43,148.8,282.3502148224,136.9180571063,3.6227074205000003
137.4070854634,4,25.344036333,30.7,355.8,2.5616624043,2.5324999999999998,574,8,44,148.8,252.5843516017,137.4165299078,3.429961541
137.4070858998,4,32.7291187915,343.8,1243.0,18.3804251719,2.5324999999999998,579,61,45,118.4,207.1479609491,137.4165303442,3.429961541
